Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,
97401,LES AVIRONS,97425,LES AVIRONS,TEVELAVE,-21.2099106214, 55.5689349201
97401,LES AVIRONS,97425,LES AVIRONS,NA,-21.2099106214, 55.3979867416
97402,BRAS PANON,97412,BRAS PANON,RIVIERE DU MAT,-21.0233456262, 55.6422659103
97402,BRAS PANON,97412,BRAS PANON,NA,-21.0233456262, 55.4471125463
97403,ENTRE DEUX,97414,ENTRE DEUX,NA,-21.2039549859, 55.4471125463
97404,L ETANG SALE,97427,L ETANG SALE,L ETANG SALE LES BAINS,-21.2492352781, 55.4471125463
97404,L ETANG SALE,97427,L ETANG SALE,NA,-21.2492352781, 55.4471125463
97405,PETITE ILE,97429,PETITE ILE,PITON GOYAVES,-21.3396693857, 55.6419643354
97405,PETITE ILE,97429,PETITE ILE,NA,-21.3396693857, 55.3335929857
97406,LA PLAINE DES PALMISTES,97431,LA PLAINE DES PALMISTES,NA,-21.1519471024, 55.3221880362
97407,LE PORT,97420,LE PORT,LE PORT MARINE,-20.9441300378, 55.4942837134
97407,LE PORT,97420,LE PORT,LE PORT ZUP,-20.9441300378, 55.7450487772
97407,LE PORT,97420,LE PORT,NA,-20.9441300378, 55.5304413195
97408,LA POSSESSION,97419,LA POSSESSION,LA RIVIERE DES GALETS,-20.99459115, 55.7545391105
97408,LA POSSESSION,97419,LA POSSESSION,LE DOS D ANE,-20.99459115, 55.5080493418
97408,LA POSSESSION,97419,LA POSSESSION,STE THERESE,-20.99459115, 55.5587522693
97408,LA POSSESSION,97419,LA POSSESSION,NA,-20.99459115, 55.4586896242
97409,ST ANDRE,97440,ST ANDRE,CAMBUSTON,-20.9634830614, 55.3670374165
97409,ST ANDRE,97440,ST ANDRE,LA CRESSONNIERE,-20.9634830614, 55.3670374165
97409,ST ANDRE,97440,ST ANDRE,NA,-20.9634830614, 55.3052625029
97410,ST BENOIT,97470,ST BENOIT,BEAUFONDS,-21.0919418821, 55.3052625029
97410,ST BENOIT,97437,ST BENOIT,STE ANNE,-21.0919418821, 55.3979867416
97410,ST BENOIT,97470,ST BENOIT,NA,-21.0919418821, 55.6492890915
97411,ST DENIS,97400,ST DENIS,BELLE PIERRE,-20.9331449895, 55.6492890915
97411,ST DENIS,97490,ST DENIS,BOIS DE NEFLES ST DENIS,-20.9331449895, 55.4471125463
97411,ST DENIS,97490,ST DENIS,LA BRETAGNE,-20.9331449895, 55.4471125463
97411,ST DENIS,97417,ST DENIS,LA MONTAGNE,-20.9331449895, 55.4471125463
97411,ST DENIS,97400,ST DENIS,LE BRULE,-20.9331449895, 55.4216954351
97411,ST DENIS,97490,ST DENIS,MOUFIA,-20.9331449895, 55.3221880362
97411,ST DENIS,97417,ST DENIS,ST BERNARD,-20.9331449895, 55.3221880362
97411,ST DENIS,97400,ST DENIS,ST DENIS CAMELIAS,-20.9331449895, 55.4942837134
97411,ST DENIS,97490,ST DENIS,ST DENIS CHAUDRON,-20.9331449895, 55.7450487772
97411,ST DENIS,97400,ST DENIS,ST DENIS TADAR,-20.9331449895, 55.5080493418
97411,ST DENIS,97400,ST DENIS,ST FRANCOIS,-20.9331449895, 55.5587522693
97411,ST DENIS,97490,ST DENIS,STE CLOTILDE,-20.9331449895, 55.3294246331
97411,ST DENIS,97400,ST DENIS,NA,-20.9331449895, 55.4586896242
97412,ST JOSEPH,97480,ST JOSEPH,JEAN PETIT,-21.3061982734, 55.4926624049
97412,ST JOSEPH,97480,ST JOSEPH,LES LIANES,-21.3061982734, 55.6441769419
97412,ST JOSEPH,97480,ST JOSEPH,VINCENDO,-21.3061982734, 55.3979867416
97412,ST JOSEPH,97480,ST JOSEPH,NA,-21.3061982734, 55.6492890915
97413,ST LEU,97416,ST LEU,LA CHALOUPE,-21.1657814773, 55.4471125463
97413,ST LEU,97424,ST LEU,LE PITON ST LEU,-21.1657814773, 55.4471125463
97413,ST LEU,97424,ST LEU,LE PLATE,-21.1657814773, 55.3335929857
97413,ST LEU,97436,ST LEU,NA,-21.1657814773, 55.3335929857
97414,ST LOUIS,97421,ST LOUIS,LA RIVIERE,-21.2337866407, 55.4216954351
97414,ST LOUIS,97421,ST LOUIS,LES MAKES,-21.2337866407, 55.3221880362
97414,ST LOUIS,97450,ST LOUIS,NA,-21.2337866407, 55.3221880362
97415,ST PAUL,97460,ST PAUL,BELLEMENE,-21.044558662, 55.3221880362
97415,ST PAUL,97435,ST PAUL,BERNICA,-21.044558662, 55.3221880362
97415,ST PAUL,97411,ST PAUL,BOIS DE NEFLES ST PAUL,-21.044558662, 55.5304413195
97415,ST PAUL,97422,ST PAUL,LA SALINE,-21.044558662, 55.5304413195
